,titles
0,R's age Code R's AGE (15-60) from HOUSEHOLD LIST 
1,R's sex (from HH LIST) 
2,R's Marital Status (from HH LIST) 
3,Code # (01-25) 
4,"A1. The first few questions are about your health. How would you rate your overall physical health? Is it excellent, very good, good, fair, or poor? "
5,"A2. How would you rate your overall mental health? Is it excellent, very good, good, fair, or poor? "
6,A3. Would you say your overall health is better or worse than other people your age? [A4 NOT CODED IN THIS APPLICATION] 
7,"A5. How often do you eat three balanced meals a day--always, most of the time, sometimes, rarely, or never? "
8,A6. How many hours do you usually sleep in a 24-hour period? Code # HOURS (01-24) 
9,"A7. How often do you get physical exercise, either on your job or in a recreational activity--regularly, occasionally, seldom, or never? "
10,A8. INTERVIEWER CHECKPOINT (for Pilot only) 
11,"A9. The next few questions are about your social life. Are you currently married, separated, divorced, widowed or never married? "
12,A9a. Are you currently living with someone in a steady marriage-like relationship? 201-212 
13,A9b. Does your (husband/wife) currently live here with you or does (he/she) live some place else? 
14,A9c. [Where does (he/she) live?] 
15,A9d. How long has (he/she) lived there?--# Code # (01-95) 
16,A9d. How long has (he/she) lived there?--TIME PERIOD 
17,"A9e. How often are the two of you in contact with each other--most every day, a few times a week, a few times a month, once a month, or less than once a month? "
18,"A10. How much does your (husband/wife/partner) really care about you--a lot, some, a little, or not at all? "
19,"A11. How much does (he/she) understand the way you feel about things--(a lot, some, a little, or not at all)? "
20,A12. How much does (he/she) appreciate you? 
21,A13. How much can you rely on (him/her) for help if you have a serious problem? 
22,A14. How much can you open up to (him/her) if you need to talk about your worries? 
23,A15. How much can you relax and be yourselfaround (him/her)? 
24,"A16. How often does your (husband/wife/partner) make too many demands on you--often, sometimes, rarely, or never? "
25,"A17. How often does (he/she) make you feel tense--(often, sometimes, rarely, or never)? "
26,A18. How often does (he/she) argue with you? 
27,A19. How often does (he/she) criticize you? 
28,A20. How often does (he/she) let you down when you are counting on (him/her)? 
29,A21. How often does (he/she) get on your nerves? 
30,"A22. How often do you talk on the phone or get together with relatives who do not live with you--most every day, a few times a week, a few times a month, about once a month, or less than once a month? "
31,"A23. [Not including your (husband/wife/partner)] how much do your relatives really care about you--a lot, some, a little, or not at all? "
32,"A24. How much do they understand the way you feel about things --(a lot, some, a little, or not at all)? "
33,A25. How much do they appreciate you? 
34,A26. How much can you rely on them for help if you have a serious problem? 
35,A27. How much can you open up to them if you need to talk about your worries? 
36,A28. How much can you relax and be yourself around them? 
37,"A29. [Not including your (husband/wife/partner)], how often do your relatives make too many demands on you--often, sometimes, rarely, or never? "
38,"A30. How often do they make you feel tense--(often, sometimes, rarely, or never)? "
39,A31. How often do they argue with you? 
40,A32. How often do they criticize you? 
41,A33. How often do they let you down when you are counting on them? 
42,A34. How often do they get on your nerves? 
43,"A35. How often do you talk on the phone or get together with friends--most every day, a few times a week, a few times a month, about once a month, or less than once a month? "
44,"A36. How much do your friends really care about you--a lot, some, a little, or not at all? "
45,"A37. How much do they understand the way you feel about things --(a lot, some, a little, or not at all)? "
46,A38. How much do they appreciate you? 
47,A39. How much can you rely on them for help if you have a serious problem? 
48,A40. How much can you open up to them if you need to talk about your worries? 
49,A41. How much can you relax and be yourself around them? 
50,"A42. How often do your friends make too many demands on you --often, sometimes, rarely, or never? "
51,"A43. How often do they make you feel tense--(often, sometimes, rarely, or never)? "
52,A44. How often do they argue with you? 
53,A45. How often do they criticize you? 
54,A46. How often do they let you down when you are counting on them? 
55,A47. How often do they get on your nerves? 
56,A48. INTERVIEWER CHECKPOINT 
57,A48a. Is there anyone who you can really open up to about your most private feelings without having to hold back? 
58,A48b. Do you have that kind of relationship with your (husband/wife/partner)? 
59,A48c/d. With how many people [besides your (spouse/partner)] do you have that kind of relationship? 
60,A48e. Is there anyone who you can really open up to about your most private feelings without having to hold back? 
61,A48f. With how many people do you have that kind of relationship? 
62,"A49. When you have a problem or worry, how often do you let your (husband/wife/ partner) know about it -- always, most of the time, sometimes, rarely, or never? "
63,"A50. When you have a problem or worry, how often do you let someone (else) in your personal life know about it -- always, most of the time, sometimes, rarely, or never? "
64,"A51. Next, I will read three statements and ask how much each one sounds like you. First, ""I find it relatively easy to get close to other people. I am comfortable depending on others and having them depend on me. I don't worry about being abandoned or about someone getting too close to me."" How much does this sound like you -- a lot, some, a little, or not at all? "
65,"A52. Here is the next statement. ""I am somewhat uncomfortable being close to others; I find it difficult to trust them completely and difficult to depend on them. I am nervous when anyone gets too close to me."" How much does this sound like you -- a lot, some, a little, or not at all? "
66,"A53. Now the third statement. ""I find that others are reluctant to get as close as I would like. I often worry that people who I care about do not love me or won't want to stay with me. I want to merge completely with another person, and this desire sometimes scares people away."" How much does this sound like you -- a lot, some, a little, or not at all? "
67,"A54. (READ SLOWLY) This interview asks about your physical and emotional well-being and about areas of your life that could affect your physical and emotional well-being. It is important for us to get accurate information. In order to do this, you will need to think carefully before answering the following questions. Are you willing to do this? "
68,"B1. Have you ever in your life had a spell or attack when all of a sudden you felt frightened, anxious or very uneasy in situations when most people would not be afraid or anxious? REFERENCE CARD (Brown) "
69,B2. Have you ever had a period of one month or more when most of the time you felt worried or anxious? 
70,B2a. What is the longest period you have had of feeling worried or anxious?--# Code # (01-95) 
71,B2a. What is the longest period you have had of feeling worried or anxious?--TIME PERIOD 
72,B2b. INTERVIEWER QUERY: WAS LONGEST PERIOD IN B2a SIX MONTHS OR LONGER? 
73,"B3. Have you ever had a continuous period lasting two years or more when you felt depressed or sad most days, even if you felt O.K. sometimes? "
74,B3a. Did a period like that ever last two years without being interrupted by your feeling O.K. for two months? 
75,"B4. In your lifetime, have you ever had two weeks or more when nearly every day you felt sad, blue, or depressed? "
76,"B4a. Have you ever had two weeks or more when nearly every day you felt down in the dumps, low, or gloomy? "
77,"B5. Has there ever been two weeks or more when you lost interest in most things like work, hobbies, or things you usually liked to do for fun? "
78,B5a. Did you ever completely lose all interest in things like work or hobbies or things you usually liked to do for fun? 
79,"B6. Has there ever been a period of at least two days when you were so happy or excited that you got into trouble, or your family or friends worried about it, or a doctor said you were manic? "
80,"B7. Has there ever been a period of several days when you were so irritable that you threw or broke things, started arguments, shouted at people, or hit someone? "
81,"B8. (RB, P. 1) Please look at List A on Page 1 of your booklet. Some people have such an unreasonably strong fear of things on this list like being in a crowd, leaving home alone, travelling on buses, cars and trains, or of crossing a bridge that they always get very upset in such a situation or avoid it altogether. Did you ever go through a period when being in any of these situations always frightened you badly? DEFINITION: ""Unreasonably strong fear"" means a non-threatening thing or situation where most people would normally not be afraid. Did you have this unreasonably strong fear when... "
82,"B8. (RB, P. 1) Please look at List A on Page 1 of your booklet. Some people have such an unreasonably strong fear of things on this list like being in a crowd, leaving home alone, travelling on buses, cars and trains, or of crossing a bridge that they always get very upset in such a situation or avoid it altogether. Did you ever go through a period when being in any of these situations always frightened you badly? DEFINITION: ""Unreasonably strong fear"" means a non-threatening thing or situation where most people would normally not be afraid. Did you have this unreasonably strong fear when... B8a. ...you were in a crowd or standing in line? "
83,"B8. (RB, P. 1) Please look at List A on Page 1 of your booklet. Some people have such an unreasonably strong fear of things on this list like being in a crowd, leaving home alone, travelling on buses, cars and trains, or of crossing a bridge that they always get very upset in such a situation or avoid it altogether. Did you ever go through a period when being in any of these situations always frightened you badly? DEFINITION: ""Unreasonably strong fear"" means a non-threatening thing or situation where most people would normally not be afraid. Did you have this unreasonably strong fear when... B8b. ...leaving your home or being alone away from home? "
84,"B8. (RB, P. 1) Please look at List A on Page 1 of your booklet. Some people have such an unreasonably strong fear of things on this list like being in a crowd, leaving home alone, travelling on buses, cars and trains, or of crossing a bridge that they always get very upset in such a situation or avoid it altogether. Did you ever go through a period when being in any of these situations always frightened you badly? DEFINITION: ""Unreasonably strong fear"" means a non-threatening thing or situation where most people would normally not be afraid. Did you have this unreasonably strong fear when... B8c. ...you were in a public place? "
85,"B8. (RB, P. 1) Please look at List A on Page 1 of your booklet. Some people have such an unreasonably strong fear of things on this list like being in a crowd, leaving home alone, travelling on buses, cars and trains, or of crossing a bridge that they always get very upset in such a situation or avoid it altogether. Did you ever go through a period when being in any of these situations always frightened you badly? DEFINITION: ""Unreasonably strong fear"" means a non-threatening thing or situation where most people would normally not be afraid. Did you have this unreasonably strong fear when... B8d. ...riding in cars, trains or buses? "
86,"B8. (RB, P. 1) Please look at List A on Page 1 of your booklet. Some people have such an unreasonably strong fear of things on this list like being in a crowd, leaving home alone, travelling on buses, cars and trains, or of crossing a bridge that they always get very upset in such a situation or avoid it altogether. Did you ever go through a period when being in any of these situations always frightened you badly? DEFINITION: ""Unreasonably strong fear"" means a non-threatening thing or situation where most people would normally not be afraid. Did you have this unreasonably strong fear when... B8e. ...crossing a bridge? "
87,B9. INTERVIEWER CHECKPOINT 
